bedroom,bathroom,floors,parking,location,dhur,Aana,Paisa,Daam,roadsize(feet),Road type,Years ago,Area(sq ft),Price
0,0,N/A,0,"Baluwatar banla house sale, Baluwatar, Kathmandu",11,5,,,18,Gravelled,1,3716,65000000
7,3,2,3,"Sitapaila, Sitapaila, Kathmandu",0,3,2,2,13,Gravelled,0.166666667,1240.65,23500000
5,2,N/A,1,"Araniko chowk ,inner amda road, Damak, Jhapa",11,,,,16,Soil Stabilized,1,2004.75,11000000
0,0,N/A,0,"Balkot, Balkot, Bhaktapur",0,4,0,0,13,Soil Stabilized,0.666666667,1369,21500000
6,3,N/A,4,"chandragiri 7, Chandragiri, Kathmandu",5,,,,10,Paved,0.333333333,911.25,26500000
5,3,2.5,2,"Sanagau height, Imadol, Lalitpur",0,3,2,0,20,Gravelled,2,1197.87,22000000
4,4,3,1,"Bhaisepati, Bhaisepati, Lalitpur",4,3,,,12,Paved,2,1755.75,31500000
5,6,3,4,"Na, Budhanilkantha, Kathmandu",17,,,,14,Gravelled,2,3098.25,62000000
5,3,3,5,"Sanagaun, Harisiddhi,  Panitanky, Sano Gaun, Lalitpur",3,,,,13,Gravelled,0.333333333,546.75,20000000
0,4,N/A,1,"Imadol, Imadol, Lalitpur",0,3,0,1,4,Alley,1,1048.14,15000000
